stem_id,station_m,x,y,diameter_m,gt_tree_id
1,0.0,419999.733,5853234.093400001,0.1806,18
1,0.5,419999.28598,5853234.284980001,0.1806,18
1,1.0,419998.83896,5853234.476560001,0.2554,18
1,1.5,419998.32808,5853234.668140001,0.1806,18
1,2.0,419997.88106,5853234.859720001,0.2554,18
1,2.5,419997.43404,5853235.0513,0.2554,18
1,3.0,419996.98702,5853235.306740001,0.1806,18
1,3.5,419996.54,5853235.434460001,0.2554,18
1,4.0,419996.02912,5853235.6260400005,0.2554,18
1,4.5,419995.5821,5853235.817620001,0.2856,18
1,5.0,419995.13508,5853236.009200001,0.2554,18
1,5.5,419994.6242,5853236.13692,0.2554,18
1,6.0,419994.17718,5853236.328500001,0.2856,18
1,6.5,419993.73016,5853236.520080001,0.2554,18
1,7.0,419993.21928,5853236.7116600005,0.2554,18
1,7.5,419992.77226,5853236.903240001,0.2554,18
1,8.0,419992.32524000003,5853237.094820001,0.1806,18
1,8.5,419991.87822,5853237.22254,0.2554,18
1,9.0,419991.36734,5853237.414120001,0.2554,18
1,9.5,419990.92032000003,5853237.541840001,0.1806,18
1,10.0,419990.4733,5853237.73342,0.2554,18
1,10.5,419989.96242,5853237.925000001,0.2554,18
1,11.0,419989.51540000003,5853238.116580001,0.2554,18
1,11.5,419989.06838,5853238.3081600005,0.1806,18
1,12.0,419988.5575,5853238.435880001,0.2554,18
1,12.5,419988.11048000003,5853238.627460001,0.2554,18
1,13.0,419987.5996,5853238.755180001,0.2554,18
1,13.5,419987.15258,5853238.946760001,0.2554,18
1,14.0,419986.70556000003,5853239.138340001,0.2554,18
1,14.5,419986.25854,5853239.32992,0.2554,18
1,15.0,419985.74766,5853239.521500001,0.2554,18
1,15.5,419985.30064000003,5853239.649220001,0.2856,18
1,16.0,419984.85362,5853239.840800001,0.2554,18
1,16.5,419984.34274,5853239.968520001,0.2554,18
1,17.0,419983.89572000003,5853240.160100001,0.2856,18
1,17.5,419983.4487,5853240.351680001,0.2856,18
1,18.0,419982.93782,5853240.543260001,0.2856,18
1,18.5,419982.4908,5853240.734840001,0.2554,18
1,19.0,419982.04378,5853240.92642,0.2554,18
1,19.5,419981.5329,5853241.054140001,0.2856,18
1,20.0,419981.08588,5853241.245720001,0.2856,18
1,20.5,419980.63886,5853241.437300001,0.2554,18
1,21.0,419980.12798,5853241.565020001,0.2856,18
1,21.5,419979.68096,5853241.756600001,0.3612,18
1,22.0,419979.23394,5853241.948180001,0.2554,18
1,22.5,419978.78692,5853242.139760001,0.2554,18
1,23.0,419978.27604,5853242.267480001,0.2856,18
1,23.5,419977.82902,5853242.459060001,0.2554,18
1,24.0,419977.31814,5853242.5867800005,0.3612,18
1,24.5,419976.87112,5853242.778360001,0.2856,18
1,25.0,419976.4241,5853242.906080001,0.3612,18
1,25.5,419975.91322,5853243.09766,0.3612,18
1,26.0,419975.4662,5853243.289240001,0.2856,18
1,26.5,419974.95532,5853243.416960001,0.3832,18
1,27.0,419974.5083,5853243.544680001,0.4039,18
1,27.5,419974.06128,5853243.736260001,0.4039,18
1,28.0,419973.5504,5853243.927840001,0.4039,18
1,28.5,419973.10338,5853244.055560001,0.5109,18
1,29.0,419972.65636,5853244.247140001,0.4605,18
1,29.5,419972.14548,5853244.438720001,0.2554,18
2,0.0,420071.32006,5853114.802920001,0.1277,8
2,0.5,420071.19234,5853115.313800001,0.2554,8
2,1.0,420071.06462,5853115.76082,0.2554,8
2,1.5,420071.00076,5853116.2717,0.1806,8
2,2.0,420071.00076,5853116.782580001,0.1806,8
2,2.5,420070.80918,5853117.229600001,0.1806,8
2,3.0,420070.74532,5853117.740480001,0.2554,8
2,3.5,420070.6176,5853118.251360001,0.2554,8
2,4.0,420070.55374,5853118.698380001,0.2554,8
2,4.5,420070.48988,5853119.209260001,0.5266,8
2,5.0,420070.2983,5853119.656280001,0.3832,8
2,5.5,420070.17058000003,5853120.167160001,0.2554,8
2,6.0,420070.10672,5853120.678040001,0.2856,8
2,6.5,420070.10672,5853121.12506,0.3832,8
2,7.0,420069.979,5853121.63594,0.3612,8
2,7.5,420069.91514,5853122.14682,0.3832,8
2,8.0,420069.85128,5853122.593840001,0.3832,8
2,8.5,420069.72356,5853123.104720001,0.3832,8
2,9.0,420069.6597,5853123.615600001,0.3832,8
2,9.5,420069.53198,5853124.126480001,0.3832,8
2,10.0,420069.46812000003,5853124.573500001,0.3832,8
2,10.5,420069.3404,5853125.084380001,0.3832,8
2,11.0,420069.27654,5853125.595260001,0.3832,8
2,11.5,420069.21268,5853126.042280001,0.3832,8
2,12.0,420069.14882,5853126.553160001,0.3832,8
2,12.5,420069.08496,5853127.064040001,0.3832,8
2,13.0,420069.0211,5853127.5749200005,0.3612,8
2,13.5,420068.95724,5853128.021940001,0.2856,8
2,14.0,420068.89338,5853128.532820001,0.2554,8
2,14.5,420068.82952,5853129.043700001,0.2554,8
2,15.0,420068.76566000003,5853129.554580001,0.2554,8
2,15.5,420068.7018,5853130.001600001,0.2856,8
2,16.0,420068.63794,5853130.512480001,0.2856,8
2,16.5,420068.57408,5853131.023360001,0.2856,8
2,17.0,420068.44636,5853131.534240001,0.3832,8
2,17.5,420068.3825,5853131.981260001,0.3832,8
2,18.0,420068.25478,5853132.492140001,0.2554,8
2,18.5,420068.19092,5853133.003020001,0.2554,8
2,19.0,420068.12706,5853133.513900001,0.2554,8
2,19.5,420068.06320000003,5853133.96092,0.2554,8
2,20.0,420067.99934,5853134.4718,0.2554,8
2,20.5,420067.99934,5853134.98268,0.3832,8
2,21.0,420067.93548,5853135.493560001,0.3832,8
2,21.5,420067.93548,5853135.940580001,0.3832,8
2,22.0,420067.87162,5853136.451460001,0.3832,8
2,22.5,420067.7439,5853136.962340001,0.2856,8
2,23.0,420067.68004,5853137.409360001,0.3612,8
2,23.5,420067.55232,5853137.920240001,0.2554,8
2,24.0,420067.4246,5853138.431120001,0.2554,8
2,24.5,420067.36074000003,5853138.942000001,0.2856,8
2,25.0,420067.36074000003,5853139.389020001,0.2554,8
3,0.0,420045.90378,5853080.701680001,0.1277,82
