stem_id,station_m,x,y,diameter_m,gt_tree_id
10,7.0,417759.14147335733,5856116.14653387,0.2511,62
11,0.0,417863.87410135736,5856144.81460587,0.2647,9
11,0.5,417863.49744055734,5856145.14941547,0.5615,9
11,1.0,417863.20448215737,5856145.54700187,0.536,9
11,1.5,417862.9115237573,5856145.96551387,0.504,9
11,2.0,417862.6394909573,5856146.38402587,0.5109,9
11,2.5,417862.36745815736,5856146.802537871,0.5244,9
11,3.0,417862.11635095737,5856147.22104987,0.4369,9
11,3.5,417861.8652437573,5856147.66048747,0.4309,9
11,4.0,417861.59321095736,5856148.07899947,0.4679,9
11,4.5,417861.32117815735,5856148.49751147,0.4369,9
11,5.0,417861.04914535733,5856148.91602347,0.4309,9
11,5.5,417860.7771125573,5856149.33453547,0.4735,9
11,6.0,417860.4632285573,5856149.73212187,0.4679,9
11,6.5,417860.1493445573,5856150.10878267,0.4527,9
12,0.0,417835.47806215734,5856144.54257307,0.3743,17
12,0.5,417835.20602935733,5856144.96108507,0.3743,17
12,1.0,417834.9339965573,5856145.37959707,0.3018,17
12,1.5,417834.66196375736,5856145.79810907,0.2959,17
12,2.0,417834.3690053573,5856146.21662107,0.2807,17
12,2.5,417834.11789815733,5856146.63513307,0.3018,17
12,3.0,417833.82493975735,5856147.05364507,0.3187,17
12,3.5,417833.55290695734,5856147.47215707,0.36,17
12,4.0,417833.2808741573,5856147.86974347,0.3948,17
12,4.5,417833.00884135737,5856148.30918107,0.3858,17
12,5.0,417832.73680855735,5856148.72769307,0.3948,17
12,5.5,417832.4438501573,5856149.12527947,0.3858,17
12,6.0,417832.15089175734,5856149.52286587,0.3551,17
12,6.5,417831.8788589573,5856149.94137787,0.3551,17
13,0.0,417754.78894855734,5856119.03426667,0.5441,61
13,0.5,417754.80987415736,5856119.53648107,0.3767,61
13,1.0,417754.8307997573,5856120.03869547,0.3767,61
13,1.5,417754.95635335735,5856120.51998427,0.0837,61
13,2.0,417754.89357655734,5856121.00127307,0.2093,61
13,2.5,417754.7261717573,5856121.4825618705,0.4604,61
13,3.0,417754.68432055734,5856121.9638506705,0.5022,61
13,3.5,417754.6215437573,5856122.466065071,0.5859,61
13,4.0,417754.60061815736,5856122.96827947,0.6222,61
13,4.5,417754.57969255734,5856123.47049387,0.6094,61
13,5.0,417754.57969255734,5856123.97270827,0.6278,61
13,5.5,417754.57969255734,5856124.47492267,0.6696,61
13,6.0,417754.57969255734,5856124.95621147,0.6696,61
13,6.5,417754.60061815736,5856125.45842587,0.6696,61
14,0.0,417794.61036535737,5856158.12328747,0.4679,32
14,0.5,417794.23370455735,5856158.43717147,0.4527,32
14,1.0,417793.8361181573,5856158.75105547,0.4449,32
14,1.5,417793.45945735736,5856159.08586507,0.4309,32
14,2.0,417793.10372215736,5856159.441600271,0.4735,32
14,2.5,417792.72706135735,5856159.77640987,0.4735,32
14,3.0,417792.37132615736,5856160.11121947,0.4735,32
14,3.5,417791.99466535734,5856160.44602907,0.4735,32
14,4.0,417791.63893015735,5856160.78083867,0.504,32
14,4.5,417791.26226935734,5856161.13657387,0.504,32
14,5.0,417790.90653415734,5856161.47138347,0.5109,32
14,5.5,417790.5298733573,5856161.8061930705,0.504,32
14,6.0,417790.1532125573,5856162.14100267,0.4527,32
15,0.0,417862.66041655734,5856144.77275467,0.4206,12
15,0.5,417862.24190455733,5856145.06571307,0.2807,12
15,1.0,417861.88616935734,5856145.40052267,0.2367,12
15,1.5,417861.53043415735,5856145.73533227,0.2367,12
15,2.0,417861.17469895736,5856146.09106747,0.2367,12
15,2.5,417860.79803815734,5856146.44680267,0.3551,12
15,3.0,417860.44230295735,5856146.802537871,0.2959,12
15,3.5,417860.1074933573,5856147.15827307,0.2093,12
15,4.0,417859.75175815733,5856147.4930826705,0.3858,12
15,4.5,417859.3750973573,5856147.82789227,0.3858,12
15,5.0,417859.04028775735,5856148.2045530705,0.2959,12
15,5.5,417858.66362695734,5856148.53936267,0.2959,12
15,6.0,417858.32881735737,5856148.89509787,0.2959,12
16,0.0,417760.87829815736,5856110.35014267,0.2254,63
16,0.5,417760.77367015736,5856110.83143147,0.2546,63
16,1.0,417760.66904215736,5856111.33364587,0.2511,63
16,1.5,417760.54348855733,5856111.81493467,0.2546,63
16,2.0,417760.43886055733,5856112.29622347,0.2511,63
16,2.5,417760.33423255733,5856112.79843787,0.293,63
16,3.0,417760.22960455733,5856113.27972667,0.2093,63
16,3.5,417760.10405095736,5856113.76101547,0.1872,63
16,4.0,417759.97849735734,5856114.24230427,0.2134,63
16,4.5,417759.8529437573,5856114.72359307,0.2093,63
16,5.0,417759.7483157573,5856115.22580747,0.2093,63
16,5.5,417759.6436877573,5856115.70709627,0.1674,63
16,6.0,417759.51813415735,5856116.18838507,0.1726,63
17,0.0,417782.93388055736,5856167.39332827,0.2093,37
17,0.5,417782.91295495734,5856167.89554267,0.1256,37
17,1.0,417782.91295495734,5856168.39775707,0.1674,37
17,1.5,417782.87110375735,5856168.89997147,0.1674,37
17,2.0,417782.7874013573,5856169.38126027,0.1726,37
17,2.5,417782.72462455736,5856169.88347467,0.2093,37
17,3.0,417782.72462455736,5856170.38568907,0.1674,37
17,3.5,417782.70369895734,5856170.887903471,0.1256,37
17,4.0,417782.59907095734,5856171.36919227,0.2134,37
17,4.5,417782.45259175735,5856171.85048107,0.2093,37
17,5.0,417782.3270381573,5856172.33176987,0.2093,37
17,5.5,417782.28518695734,5856172.83398427,0.2511,37
17,6.0,417782.30611255736,5856173.31527307,0.2511,37
18,0.0,417828.07039975736,5856145.29589467,0.2807,21
18,0.5,417828.1331765573,5856145.79810907,0.293,21
18,1.0,417828.21687895735,5856146.27939787,0.3047,21
18,1.5,417828.3005813573,5856146.7816122705,0.3348,21
18,2.0,417828.36335815734,5856147.2629010705,0.2254,21
18,2.5,417828.4470605573,5856147.76511547,0.3187,21
18,3.0,417828.53076295735,5856148.26732987,0.2093,21
18,3.5,417828.59353975736,5856148.74861867,0.1509,21
18,4.0,417828.69816775736,5856149.25083307,0.244,21
18,4.5,417828.80279575736,5856149.73212187,0.1674,21
18,5.0,417828.84464695735,5856150.23433627,0.1674,21
18,5.5,417828.90742375737,5856150.73655067,0.1872,21
18,6.0,417828.99112615734,5856151.21783947,0.1323,21
19,0.0,417758.82758935733,5856107.692591471,0.2511,60
19,0.5,417758.68111015734,5856108.17388027,0.4268,60
19,1.0,417758.59740775736,5856108.65516907,0.5022,60
19,1.5,417758.5137053573,5856109.15738347,0.5091,60
19,2.0,417758.43000295735,5856109.63867227,0.5457,60
19,2.5,417758.36722615734,5856110.14088667,0.5441,60
19,3.0,417758.28352375736,5856110.64310107,0.5692,60
19,3.5,417758.17889575736,5856111.12438987,0.6497,60
19,4.0,417758.07426775736,5856111.60567867,0.6813,60
19,4.5,417757.9905653573,5856112.10789307,0.6902,60
19,5.0,417757.94871415733,5856112.61010747,0.7115,60
19,5.5,417757.92778855737,5856113.11232187,0.6696,60
19,6.0,417757.86501175736,5856113.59361067,0.6902,60
20,0.0,417819.65830855735,5856148.97880027,0.2134,24
20,0.5,417819.2188709573,5856149.20898187,0.1726,24
20,1.0,417818.75850775733,5856149.43916347,0.2093,24
20,1.5,417818.3399957573,5856149.69027067,0.1776,24
20,2.0,417817.9214837573,5856149.96230347,0.2254,24
20,2.5,417817.48204615735,5856150.21341067,0.2254,24
20,3.0,417817.0426085573,5856150.44359227,0.244,24
20,3.5,417816.60317095736,5856150.69469947,0.2367,24
20,4.0,417816.16373335733,5856150.92488107,0.2254,24
20,4.5,417815.72429575736,5856151.13413707,0.2959,24
20,5.0,417815.28485815733,5856151.36431867,0.3187,24
20,5.5,417814.84542055737,5856151.61542587,0.3187,24
20,6.0,417814.40598295734,5856151.86653307,0.3269,24
21,0.0,417757.71853255737,5856114.01212267,0.9207,60
21,0.5,417757.69760695734,5856114.51433707,0.7963,60
21,1.0,417757.71853255737,5856115.01655147,0.7533,60
21,1.5,417757.71853255737,5856115.5187658705,0.7115,60
21,2.0,417757.76038375736,5856116.0000546705,0.7115,60
21,2.5,417757.80223495734,5856116.502269071,0.805,60
21,3.0,417757.84408615733,5856117.00448347,0.805,60
21,3.5,417757.86501175736,5856117.50669787,0.7996,60
21,4.0,417757.86501175736,5856118.00891227,0.758,60
21,4.5,417757.7813093573,5856118.49020107,0.5441,60
21,5.0,417757.71853255737,5856118.99241547,0.4604,60
21,5.5,417757.63483015733,5856119.49462987,0.3767,60
22,0.0,417806.57980855735,5856122.6753210705,0.293,49
22,0.5,417806.32870135736,5856123.11475867,0.36,49
22,1.0,417806.1403709573,5856123.57512187,0.4508,49
22,1.5,417805.95204055734,5856124.03548507,0.4679,49
22,2.0,417805.7218589573,5856124.47492267,0.4309,49
22,2.5,417805.49167735735,5856124.91436027,0.4508,49
22,3.0,417805.2614957573,5856125.37472347,0.397,49
22,3.5,417805.07316535735,5856125.83508667,0.4122,49
22,4.0,417804.86390935734,5856126.274524271,0.3576,49
22,4.5,417804.69650455733,5856126.755813071,0.4122,49
22,5.0,417804.4872485573,5856127.2161762705,0.3948,49
22,5.5,417804.25706695736,5856127.65561387,0.3576,49
23,0.0,417805.34519815736,5856143.26611147,0.3451,47
23,0.5,417804.90576055733,5856143.51721867,0.4206,47
23,1.0,417804.46632295736,5856143.74740027,0.4604,47
